pl_name,hostname,pl_insol,pl_rade,pl_orbsmax,pl_masse,pl_eqt,habitability_score
TOI-4010 d,TOI-4010,0.0006641229444599,0.2527093276239306,0.0235726956471418,0.0060819501727179,0.1252894262927707,0.9142563576675059
TOI-406 c,TOI-406,0.0004191330927191,0.0434886311821905,0.0055888054735127,0.0003210273069107,0.1083097504502186,0.9721325537003705
TOI-406.01,TOI-406,6.278421745976303e-05,0.0762062709549729,0.0164281056152916,0.0010381480074229,0.0527399022382299,0.9711681714972705
TOI-4087 b,TOI-4087,0.0167866823694768,0.5483413371277577,0.0083687409718868,0.0370450717943064,0.3331618214561358,0.7996584993327472
TOI-411 b,HD 22946,0.0110236079125396,0.0452967112748969,0.0111687080310978,0.0021785136648075,0.2773347054283509,0.9422159604571899
TOI-411 c,HD 22946,0.0034870741906554,0.086882553407144,0.021057621897612,0.0015412505033279,0.1975816825315153,0.9451819747208632
TOI-4127 b,TOI-4127,0.0004926300482413,0.5155285286288004,0.0669966680837141,0.1167413942657318,0.1137381013635194,0.8238614179622819
TOI-4137 b,TOI-4137,0.0225573069682084,0.5710207788279428,0.010044714895246,0.0730860838673714,0.3619758168253151,0.7805595524157558
TOI-4145 A b,TOI-4145 A,0.0049625812522763,0.5594397873397842,0.009156649031474,0.0218164751437156,0.2343709801903782,0.8182166718289237
TOI-4201 b,TOI-4201,0.0011763744526453,0.531934932878279,0.0071557186767596,0.1304471312512635,0.1510162078723951,0.8172059251458487
TOI-421 b,TOI-421,0.0034385216564013,0.1020359865650643,0.0108860404503985,0.001133977054262,0.210547980447646,0.9405618503387744
TOI-421 c,TOI-421,0.00076033714078,0.205785344265598,0.0248858757464538,0.0026113415263639,0.1313609467455621,0.925610564899614
TOI-4214 b,TOI-4214,0.0269448524948396,0.4465251218369713,0.0095906661829415,0.0263850541388928,0.3804990995626447,0.8169743214118359
TOI-4438 b,TOI-4438,0.0001295996315708,0.0951480624023732,0.0103073509151084,0.0008512813660868,0.0699768458965783,0.9644765862607205
TOI-4463 A b,TOI-4463 A,0.014094021180798,0.5575096222352562,0.0074050003227307,0.0402938390800852,0.3169539490609724,0.8000520278795105
TOI-4487 A b,TOI-4487 A,0.0267889498619136,0.6154145788150587,0.010547729645152,0.0634413059886639,0.3797272961152559,0.7674075417581249
TOI-4603 b,TOI-4603,0.0265439600101728,0.4894712979956911,0.0181864315109806,0.6543108560315881,0.3895034731155132,0.6785626521732827
TOI-4734 b,TOI-4734,0.0172566174487251,0.4566584890662385,0.0148923526177911,0.0098366457789036,0.3357344996140983,0.8268416531391483
TOI-4791 b,TOI-4791,0.0174392462472955,0.5222841069251436,0.0107747540013042,0.1172490141540848,0.3367635708772832,0.7891553855319856
TOI-4794 b,TOI-4794,0.0291720329652108,0.6047986703096594,0.0093725447427168,0.0492279491147791,0.3884744018523283,0.7709947179579452
TOI-4860 b,TOI-4860,0.0009425205032563,0.3611941331863145,0.0024460761510913,0.0138361172127772,0.1366092101878055,0.8859154979666091
TOI-4961 b,TOI-4961,0.0025572263442754,0.5179412350094603,0.0145807505603272,0.0913603998480804,0.1944944687419603,0.8208431980074095
TOI-4994 b,TOI-4994,0.000886840991497,0.354359732068825,0.0321417522273982,0.0142021768184202,0.1426807306405968,0.8836872945028312
TOI-500 b,TOI-500,0.0253412825561724,0.0368590041756003,0.0010683499113047,0.0002156153553878,0.3740674041677386,0.9269227955018794
TOI-5005 b,TOI-5005,0.0050293966663874,0.255722794445108,0.0131429296380296,0.0052115029972633,0.2256238744533059,0.8983603076575553
TOI-5181 A b,TOI-5181 A,0.0234481791563569,0.5613699524443123,0.0100402634372822,0.0527812883332503,0.3658348340622588,0.7861875490222977
TOI-519 b,TOI-519,0.001198646257349,0.4976745001204304,0.0020899595139898,0.0266388640838679,0.1520452791355801,0.846878220454178
TOI-5205 b,TOI-5205,0.0010872872338304,0.4860377586350895,0.0028511588257944,0.0547710917208554,0.147671726267044,0.8447742810042714
TOI-5210 b,TOI-5210,0.0101519117482411,0.4484552869414993,0.0108192685809419,0.0130854130646824,0.2889117571391819,0.8378048316982448
TOI-5218 b,TOI-5218,0.0013768206949787,0.4111315833658245,0.0088606270768833,0.1049216262332883,0.1595060457936712,0.8510077631266536
TOI-5293 A b,TOI-5293 A,0.000766573246097,0.4989526164401353,0.0059894366902519,0.0272042692468238,0.1317211216876768,0.8492339081445957
TOI-5300 b,TOI-5300,0.0044057861346835,0.4112996065268587,0.0049878586484038,0.0304460132457171,0.2263956779006946,0.8553060223287924
TOI-532 b,TOI-532,0.0020917456259678,0.2372114982578758,0.0050101159382226,0.0098112972455374,0.1811165423205557,0.9104388493567276
TOI-5322 b,TOI-5322,0.0123345486092048,0.7017894728391256,0.0118653612024278,0.0293800114796966,0.3053768973501415,0.7679831941887537
TOI-5340 b,TOI-5340,0.022356860725875,0.6356813137040886,0.0123995361580801,0.0431365104545427,0.3609467455621302,0.7703633458151793
TOI-5344 b,TOI-5344,0.0008422973820896,0.4431473324735519,0.0074161289676401,0.0209027593440413,0.1353228711088243,0.8637398822350892
TOI-5386 A b,TOI-5386 A,0.018192033246281,0.619757450730742,0.0092300980878762,0.024760670496802,0.3408798559300232,0.7825959050457786
TOI-5542 b,TOI-5542,0.0002097781285042,0.4735474350223445,0.0723161603504187,0.066994645207135,0.0715204527913558,0.8501915948106904
TOI-5573 b,TOI-5573,0.0002837205201205,0.4063961355039744,0.0142691485028633,0.0178769086878236,0.093902752765629,0.8792281404652748
TOI-5592 b,TOI-5592,0.0381252984561029,0.7249514553849478,0.0071802016955603,0.0456238479069934,0.4183174684846926,0.7347341365932735
TOI-561 b,TOI-561,0.1056756821224602,0.0480088314139565,0.0007812308726415,0.0003082501006655,0.5523540005145356,0.8733022143251952
TOI-561 c,TOI-561,0.0014993156208491,0.1100001488781758,0.0182086888007994,0.0009359303574613,0.1643941342937998,0.9453829929985592
TOI-561 d,TOI-561,0.000472585424008,0.1080629202074189,0.0335884760656233,0.0020970589749944,0.111911499871366,0.9522775099386769
TOI-561 e,TOI-561,0.000106436954679,0.0964395481828778,0.0714258687576648,0.0020012299281553,0.0648314895806534,0.9585906255693812
TOI-5616 b,TOI-5616,0.0030472060477571,0.450737147301298,0.0044759409825703,0.0996510286571409,0.1996398250578852,0.8360777777719803
