pl_name,hostname,pl_insol,pl_rade,pl_orbsmax,pl_masse,pl_eqt
NGTS-33 b,NGTS-33,2620.0,18.38272835,0.048,1153.71711741,1991.0
NGTS-8 b,NGTS-8,503.0,12.21781,0.035,295.5819,1345.0
NGTS-9 b,NGTS-9,729.0,11.99363,0.058,921.707,1448.0
PH2 b,PH2,1.2,9.33708092,0.833,87.08498352,295.1
Qatar-3 b,Qatar-3,1330.0,12.285064,0.03783,1369.8473,1681.0
Qatar-4 b,Qatar-4,614.0,12.722215,0.02803,1938.763,1385.0
Qatar-5 b,Qatar-5,669.0,12.408363,0.04127,1373.0256,1415.0
Ross 176 b,Ross 176,36.2,1.84,0.0464,4.57,682.0
TIC 139270665 b,TIC 139270665,40.3,7.22979255,0.163,147.15455244,703.0
TIC 393818343 b,TIC 393818343,2.28,12.18416202,0.1291,1379.37528638,805.5
TOI-1052 b,TOI-1052,246.0,2.87,0.09103,16.9,1135.0
TOI-1062 b,TOI-1062,232.0,2.265,0.052,10.15,1077.0
TOI-1064 b,TOI-1064,62.9,2.587,0.06152,13.5,784.0
TOI-1064 c,TOI-1064,26.8,2.651,0.09429,2.5,634.0
TOI-1075 b,TOI-1075,509.2,1.791,0.01159,9.95,1323.0
TOI-1107 b,TOI-1107,532.0,14.57167491,0.0561,1064.72516345,1728.0
TOI-1117 b,TOI-1117,928.0,2.46,0.033,8.9,1538.0
TOI-1130 b,TOI-1130,78.1,3.56,0.04457,19.28,632.17
TOI-1130 c,TOI-1130,30.0,13.32,0.07191,325.69,497.7
TOI-1173 b,TOI-1173,132.0,9.19,0.0696,27.4,868.0
TOI-1201 b,TOI-1201,40.6,2.415,0.0287,6.28,703.0
TOI-1221 b,TOI-1221,6.06,2.91,0.387,1112.3994245,440.0
TOI-1231 b,TOI-1231,1.93,3.65,0.1288,15.4,329.6
TOI-1235 b,TOI-1235,53.6,1.738,0.03845,6.91,754.0
TOI-1235 b,TOI-1235,60.3,1.694,0.03826,5.9,775.0
TOI-1238 b,TOI-1238,442.0,1.21,0.0139,3.76,1133.0
TOI-1238 c,TOI-1238,63.0,2.11,0.037,8.32,695.0
TOI-1246 b,TOI-1246,196.0,3.01,0.049,8.1,955.0
TOI-1246 c,TOI-1246,129.0,2.51,0.061,8.8,860.0
TOI-1246 d,TOI-1246,28.0,3.51,0.131,5.3,586.0
TOI-1246 e,TOI-1246,11.0,3.78,0.211,14.8,462.0
TOI-125 b,TOI-125,185.0,2.726,0.05186,9.5,1037.0
TOI-125 c,TOI-125,77.59,2.759,0.0814,6.63,827.8
TOI-125 d,TOI-125,26.7,2.93,0.137,13.6,638.1
TOI-1260 b,TOI-1260,95.58,2.41,0.0367,8.56,871.0
TOI-1260 b,TOI-1260,91.0,2.34,0.0366,8.6,860.0
TOI-1260 c,TOI-1260,28.4,2.82,0.0656,11.8,643.0
TOI-1260 c,TOI-1260,29.81,2.76,0.0657,13.2,651.0
TOI-1260 d,TOI-1260,10.32,3.12,0.1116,11.84,499.0
TOI-1266 b,TOI-1266,4.72,2.458,0.0745,15.9,410.0
TOI-1266 b,TOI-1266,5.5,2.62,0.0728,4.23,425.0
TOI-1266 b,TOI-1266,4.9,2.37,0.0736,13.5,413.0
TOI-1266 c,TOI-1266,2.3,1.56,0.1058,2.2,344.0
TOI-1266 c,TOI-1266,2.7,2.13,0.1047,2.88,354.0
TOI-1266 c,TOI-1266,2.42,1.673,0.1037,6.4,347.1
TOI-1295 b,TOI-1295,1800.0,15.69257298,0.047,451.31633794,2360.0
TOI-132 b,TOI-132,860.0,3.42,0.026,22.4,1395.0
TOI-1386 b,TOI-1386,34.68,6.05284958,0.1732,47.03860424,676.4
TOI-1416 b,TOI-1416,883.0,1.62,0.019,3.48,1517.0
TOI-1420 b,TOI-1420,139.0,11.89,0.071,25.1,957.0
TOI-1431 b,TOI-1431,5300.0,16.70138124,0.046,991.62462984,2370.0
TOI-1438 b,TOI-1438,145.0,3.04,0.0553,9.4,971.0
TOI-1438 c,TOI-1438,65.0,2.75,0.083,10.6,794.0
TOI-1448 b,TOI-1448,5.45,2.749,0.0567,19.5,426.0
TOI-1452 b,TOI-1452,1.8,1.672,0.061,4.82,326.0
