pl_insol,pl_rade,pl_orbsmax,pl_masse,pl_eqt
2150.0,18.11371281,0.03185,309.88269682,7.423529411764706
598.0,15.27784069,0.0493,225.65816897,5.396078431372549
781.8,12.84549188,0.0475,117.59651059,5.768627450980392
124.2,9.6397234,0.0654,54.03082919,3.6431372549019607
2560.0,18.6405349,0.02871,444.9597698,7.756862745098039
382.0,12.32987877,0.0261,368.68095212,4.650980392156863
947.8,13.15934334,0.03386,533.95172376,6.0549019607843135
1156.0,9.292245,0.04489,96.61983573,6.36078431372549
124.0,12.55405838,0.0384,953.485221,3.925490196078431
1484.0,13.75341932,0.0434,1058.36859531,6.768627450980392
1084.0,16.43236571,0.0505,197.05361234,6.258823529411765
464.0,13.65253849,0.04756,327.36325921,5.066666666666666
933.0,13.7646283,0.0505,378.21580433,6.035294117647059
1466.0,3.82,0.01714,30.3,6.752941176470588
818.5,12.97999965,0.03144,721.47048389,5.8352941176470585
425.0,12.22899794,0.0675,530.77343969,4.956862745098039
1370.0,13.7646283,0.0515,397.28550875,6.63921568627451
740.0,14.67255574,0.0502,193.87532827,5.690196078431373
334.0,10.5700688,0.03138,99.16246298,4.666666666666667
2590.0,15.9727975,0.03559,435.42491759,7.780392156862745
841.3,23.53885947,0.04289,375.03752026,5.874509803921568
308.0,11.02963701,0.0481,565.73456446,4.588235294117647
43.0,8.29464572,0.04194,77.2323029,2.788235294117647
39.0,8.29464572,0.043,82.63538582,2.7058823529411766
1258.0,12.80065596,0.048,69.28659273,6.4980392156862745
924.3,13.08088048,0.0456,311.47183886,6.015686274509804
68.6,12.59889431,0.0813,324.18497514,3.1411764705882352
54.0,11.32107051,0.027,222.4798849,2.9411764705882355
57.0,11.14172682,0.0263,218.98377242,2.996078431372549
55.4,12.0,0.03845,85.3,2.976470588235294
19.1,5.14,0.043,14.95,2.2823529411764705
1230.0,18.49481816,0.0421,330.54154328,6.454901960784314
1186.0,13.13692538,0.04611,352.78953177,6.403921568627451
949.0,13.59649359,0.0325,171.62733978,6.0549019607843135
729.0,11.67975789,0.0529,99.7981198,5.666666666666667
6.29,6.43,0.0361,32.59,1.7294117647058824
7.42,6.0,0.0354,16.5,1.815686274509804
872.2,14.28024141,0.0463,129.03833324,5.929411764705883
469.0,12.27383387,0.0743,55.61997123,5.078431372549019
1153.0,14.4595851,0.0494,187.51876013,6.356862745098039
16.7,7.9,0.041,44.0,2.207843137254902
714.0,3.02,0.0229,11.0,5.650980392156863
112.0,5.93,0.058,20.31,3.556862745098039
30.0,6.18,0.113,38.15,2.549019607843137
19.0,1.32,0.0322,2.08,2.2901960784313724
3.0,2.08,0.0809,6.57,1.4431372549019608
753.9,13.04725353,0.04469,232.01473711,5.7176470588235295
495.139,1.362,0.05727,13.71,4.866666666666666
156.75,2.328,0.1017,9.72,3.6509803921568627
22.3,12.28504285,0.3081,731.0053361,2.3729411764705883
1013.0,13.57407563,0.05222,457.67290608,6.1568627450980395
223.0,13.30506009,0.04823,136.66621501,4.211764705882353
53.0,12.66614819,0.03924,816.81900599,2.9411764705882355
49.6,12.69,0.03944,825.0,2.8980392156862744
45.2,13.67495645,0.04,788.21444936,2.843137254901961
154.57,2.68,0.056,7.17,3.848627450980392
