pl_name,hostname,pl_eqt,pl_rade,pl_orbsmax,pl_masse,st_teff,st_lum
HD 191939 c,HD 191939,600.0,3.195,0.1752,8.0,5348.0,-0.18709
HD 191939 c,HD 191939,554.51,3.1823776,0.171,6.1,5385.0,-0.17783
HD 191939 d,HD 191939,502.73,3.1168896,0.209,2.2,5385.0,-0.17783
HD 191939 d,HD 191939,540.0,2.995,0.2132,2.8,5348.0,-0.18709
HD 191939 d,HD 191939,549.0,3.04,0.207,5.8,5348.0,-0.18709
HD 202772 A b,HD 202772 A,2132.0,17.317905,0.05208,323.23311,6272.0,0.97128
HD 20329 b,HD 20329,2141.0,1.72,0.018,7.42,5596.0,0.04922
HD 207897 b,HD 207897,581.75,2.34302132,0.117,14.8,5106.0,-0.42136
HD 207897 b,HD 207897,632.2,2.501,0.1163,14.4,5070.0,-0.4437
HD 209458 b,HD 209458,1449.0,15.233,0.04707,217.704,6065.0,0.21
HD 213885 b,HD 213885,2128.0,1.745,0.02012,8.83,5978.0,0.13862
HD 21520 b,HD 21520,637.0,2.697,0.1726,17.7,5871.0,0.06595
HD 21749 c,GJ 143,701.0,0.892,0.0695,3.7,4640.0,-0.6862
HD 219134 b,HD 219134,1015.0,1.602,0.03876,4.74,4699.0,-0.57741
HD 219134 c,HD 219134,782.0,1.511,0.0653,4.36,4699.0,-0.57741
HD 219134 d,HD 219134,410.5,1.61,0.237,16.17,4699.0,-0.57741
HD 219134 f,HD 219134,522.6,1.31,0.1463,7.3,4699.0,-0.57741
HD 224018 b,HD 224018,968.0,0.91,0.0952,4.1,5784.0,0.12385
HD 224018 c,HD 224018,641.0,2.42,0.217,10.4,5784.0,0.12385
HD 224018 d,HD 224018,411.0,2.4,0.53,4.2,5784.0,0.12385
HD 23472 b,HD 23472,543.0,2.0,0.1162,8.32,4684.0,-0.62525
HD 23472 c,HD 23472,467.0,1.87,0.1646,3.41,4684.0,-0.62525
HD 23472 d,HD 23472,909.0,0.75,0.04298,0.55,4684.0,-0.62525
HD 23472 e,HD 23472,723.0,0.818,0.068,0.72,4684.0,-0.62525
HD 23472 f,HD 23472,630.0,1.137,0.0906,0.77,4684.0,-0.62525
HD 235088 b,HD 235088,753.95,2.07506422,0.071,4.2,5087.0,-0.41229
HD 25463 b,HD 25463,1198.46,2.54535814,0.076,8.7,6353.0,0.47276
HD 25463 c,HD 25463,1585.57,1.36354953,0.0443,4.3,6353.0,0.47276
HD 260655 b,HD 260655,709.0,1.24,0.02933,2.14,3803.0,-1.43997
HD 260655 c,HD 260655,557.0,1.533,0.04749,3.09,3803.0,-1.43997
HD 2685 b,HD 2685,2061.0,16.14096,0.0568,371.8611,6801.0,0.66839
HD 3167 b,HD 3167,1777.0,1.627,0.01802,4.73,5300.0,-0.27003
HD 3167 c,HD 3167,565.0,2.923,0.1783,10.67,5300.0,-0.27003
HD 332231 b,HD 332231,876.0,9.718203,0.1436,77.55052,6089.0,0.30535
HD 332231 b,HD 332231,798.3,9.07303305,0.145,74.1,6128.0,0.30792
HD 35843 c,HD 35843,479.0,2.54,0.25,11.32,5666.0,-0.12494
HD 42813 b,HD 42813,777.0,3.48,0.107,9.6,5289.0,-0.1549
HD 42813 b,HD 42813,703.39,3.42633318,0.11,5.9,5323.0,-0.15366
HD 5278 b,HD 5278,943.0,2.45,0.1202,7.8,6203.0,0.28035
HD 6061 b,HD 6061,1075.31,2.42763557,0.06,10.0,5934.0,0.05538
HD 63433 b,HD 63433,886.44,2.16351593,0.072,37.3,5634.0,-0.11748
HD 63433 c,HD 63433,622.31,2.58229101,0.146,17.2,5634.0,-0.11748
HD 63935 b,HD 63935,825.22,2.91575244,0.083,10.5,5513.0,-0.11464
HD 63935 c,HD 63935,619.59,3.06451296,0.148,11.1,5513.0,-0.11464
HD 73583 b,HD 73583,742.7,2.84,0.05995,15.9,4582.0,-0.74425
HD 73583 c,HD 73583,517.8,2.73,0.1233,22.5,4582.0,-0.74425
HD 77946 b,HD 77946,1128.86,2.89646124,0.073,10.9,6007.0,0.30878
HD 86226 c,HD 86226,1311.0,2.16,0.049,7.25,5863.0,0.07188
HD 89345 b,HD 89345,1089.0,7.39794,0.1066,34.9613,5576.0,0.42488
HD 89345 b,HD 89345,1068.0,7.263432,0.1115,38.45743,5622.0,0.43297
HD 89345 b,HD 89345,1053.0,6.86,0.105,35.7,5499.0,0.35603
HD 93963 A b,HD 93963 A,2042.0,1.35,0.02085,7.8,5987.0,0.0983
HD 93963 A b,HD 93963 A,1842.23,1.46954368,0.02061,2.8,5908.0,0.06781
HD 93963 A c,HD 93963 A,1212.45,3.11976057,0.04726,18.4,5908.0,0.06781
HD 93963 A c,HD 93963 A,1344.0,3.228,0.04813,19.2,5987.0,0.0983
HD 95338 b,HD 95338,385.0,3.89,0.262,42.44,5212.0,-0.3098
HD 97658 b,HD 97658,757.0,2.247,0.08,7.55,5170.0,-0.45
HIP 116454 b,HIP 116454,753.2,2.469,0.0792,9.7,5048.0,-0.47314
HIP 29442 c,HD 42813,1217.0,1.58,0.0436,4.5,5289.0,-0.1549
HIP 29442 d,HD 42813,998.0,1.37,0.0649,5.1,5289.0,-0.1549
HIP 65 A b,HIP 65 A,1411.0,22.75427,0.01782,1021.18779,4590.0,-0.67799
HIP 8152 b,HIP 8152,794.96,2.53625843,0.093,8.9,5618.0,-0.0804
HIP 8152 c,HIP 8152,650.68,2.52442508,0.139,10.7,5618.0,-0.0804
HIP 9618 b,HIP 9618,640.88,3.82838127,0.145,8.3,5649.0,-0.0716
HIP 9618 c,HIP 9618,470.31,3.42855926,0.269,7.0,5649.0,-0.0716
HIP 97166 b,HIP 97166,701.66,2.4801338,0.091,19.1,5216.0,-0.32514
HR 858 b,HR 858,1552.0,2.004,0.04888,3.55,6354.0,0.36361
HR 858 c,HR 858,1309.0,1.979,0.0687,3.8,6354.0,0.36361
HR 858 d,HR 858,1061.0,2.001,0.1046,7.1,6354.0,0.36361
K2-111 b,K2-111,1309.0,1.9,0.0621,8.6,5730.0,0.27875
K2-113 b,K2-113,1178.0,10.42437,0.0558,410.0007,5627.0,0.0086
K2-114 b,K2-114,701.0,10.44677001,0.0943,638.83509807,4920.0,-0.44491
K2-114 b,K2-114,701.4,10.59248676,0.0944,638.83509807,4899.0,-0.4437
K2-115 b,K2-115,696.0,11.80305668,0.1415,321.00669107,5870.0,-0.10791
K2-132 b,K2-132,1586.0,12.206601,0.0916,157.32585,4878.0,0.94349
K2-136 b,K2-136,610.0,1.014,0.0707,4.3,4500.0,-0.7765
K2-136 c,K2-136,470.0,3.0,0.1185,18.1,4500.0,-0.7765
K2-136 d,K2-136,420.0,1.565,0.1538,3.0,4500.0,-0.7765
K2-140 b,K2-140,1114.0,12.273855,0.0591,323.86877,5654.0,-0.04915
K2-18 b,K2-18,254.9,2.61,0.1591,8.63,3457.0,-1.59688
K2-180 b,K2-180,797.5,2.46597575,0.0756,11.41003981,5365.0,-0.41341
K2-182 b,K2-182,965.8,2.71257333,0.05174,20.97667486,5128.0,-0.41117
K2-182 b,K2-182,969.0,2.69,0.0526,20.0,5170.0,-0.40782
K2-199 b,K2-199,913.0,1.73,0.0382,6.9,4491.0,-0.73283
K2-199 c,K2-199,694.0,2.85,0.0662,12.4,4491.0,-0.73283
K2-216 b,K2-216,1103.0,1.75,0.028,8.0,4503.0,-0.72125
K2-232 b,K2-232,1001.0,11.859122,0.0991,123.00021,5888.0,0.21643
K2-232 b,K2-232,1030.0,11.209,0.10356,126.49634,6154.0,0.23805
K2-237 b,K2-237,1828.0,16.19697711,0.03558,433.20011874,6360.0,0.37107
K2-237 b,K2-237,1759.0,16.06246934,0.03552,434.15360396,6180.0,0.3032
K2-24 b,K2-24,767.0,5.68,0.154,21.0,5743.0,0.15836
K2-24 c,K2-24,606.0,7.82,0.247,27.0,5743.0,0.15836
K2-25 b,K2-25,494.0,3.44,0.0287,24.5,3207.0,-2.08831
K2-260 b,K2-260,2090.0,18.41635529,0.04392,546.66486004,6860.0,0.78817
K2-261 b,K2-261,1036.0,9.26982704,0.1086,68.96876432,5490.0,0.35392
K2-261 b,K2-261,1046.0,9.52763359,0.1034,59.75174052,5445.0,0.32838
K2-261 b,K2-261,1030.0,9.50521563,0.1087,67.69745069,5503.0,0.34635
K2-263 b,K2-263,470.0,2.41,0.2573,14.8,5368.0,-0.25964
K2-265 b,K2-265,1366.0,1.70824866,0.03359,7.3418362,5420.0,-0.18243
K2-266 d,K2-266,538.3,2.93,0.1035,8.9,4285.0,-0.82333
K2-266 e,K2-266,490.1,2.73,0.1249,14.3,4285.0,-0.82333
K2-29 b,K2-29,1076.0,11.209,0.04097,194.82979,5222.0,-0.42713
K2-3 b,K2-3,501.3,2.078,0.0747,5.11,3844.0,-1.23136
K2-3 c,K2-3,371.8,1.582,0.1357,2.68,3844.0,-1.23136
